ds,y
"2015/01/16","101"
"2015/01/17","38"
"2015/01/18","18"
"2015/01/19","97"
"2015/01/20","116"
"2015/01/21","120"
"2015/01/22","113"
"2015/01/23","106"
"2015/01/24","74"
"2015/01/25","11"
"2015/01/26","93"
"2015/01/27","75"
"2015/01/28","137"
"2015/01/29","105"
"2015/01/30","110"
"2015/01/31","57"
"2015/02/01","20"
"2015/02/02","101"
"2015/02/03","124"
"2015/02/04","126"
"2015/02/05","116"
"2015/02/06","110"
"2015/02/07","59"
"2015/02/08","10"
"2015/02/09","121"
"2015/02/10","106"
"2015/02/11","118"
"2015/02/12","119"
"2015/02/13","104"
"2015/02/14","49"
"2015/02/15","14"
"2015/02/16","98"
"2015/02/17","117"
"2015/02/18","125"
"2015/02/19","109"
"2015/02/20","100"
"2015/02/21","67"
"2015/02/22","15"
"2015/02/23","114"
"2015/02/24","104"
"2015/02/25","129"
"2015/02/26","108"
"2015/02/27","171"
"2015/02/28","82"
"2015/03/01","31"
"2015/03/02","104"
"2015/03/03","96"
"2015/03/04","106"
"2015/03/05","80"
"2015/03/06","92"
"2015/03/07","52"
"2015/03/08","32"
"2015/03/09","110"
"2015/03/10","105"
"2015/03/11","108"
"2015/03/12","104"
"2015/03/13","84"
"2015/03/14","32"
"2015/03/15","16"
"2015/03/16","86"
"2015/03/17","95"
"2015/03/18","97"
"2015/03/19","85"
"2015/03/20","80"
"2015/03/21","65"
"2015/03/22","22"
"2015/03/23","96"
"2015/03/24","114"
"2015/03/25","105"
"2015/03/26","112"
"2015/03/27","98"
"2015/03/28","59"
"2015/03/29","16"
"2015/03/30","92"
"2015/03/31","103"
"2015/04/01","117"
"2015/04/02","119"
"2015/04/03","89"
"2015/04/04","62"
"2015/04/05","6"
"2015/04/06","78"
"2015/04/07","100"
"2015/04/08","108"
"2015/04/09","99"
"2015/04/10","94"
"2015/04/11","32"
"2015/04/12","19"
"2015/04/13","99"
"2015/04/14","90"
"2015/04/15","100"
"2015/04/16","94"
"2015/04/17","113"
"2015/04/18","48"
"2015/04/19","29"
"2015/04/20","111"
"2015/04/21","87"
"2015/04/22","118"
"2015/04/23","102"
"2015/04/24","99"
"2015/04/25","31"
"2015/04/26","10"
"2015/04/27","112"
"2015/04/28","112"
"2015/04/29","102"
"2015/04/30","116"
"2015/05/01","76"
"2015/05/02","48"
"2015/05/03","13"
"2015/05/04","92"
"2015/05/05","93"
"2015/05/06","100"
"2015/05/07","105"
"2015/05/08","92"
"2015/05/09","46"
"2015/05/10","13"
"2015/05/11","103"
"2015/05/12","94"
"2015/05/13","116"
"2015/05/14","120"
"2015/05/15","93"
"2015/05/16","46"
"2015/05/17","9"
"2015/05/18","86"
"2015/05/19","88"
"2015/05/20","109"
"2015/05/21","103"
"2015/05/22","83"
"2015/05/23","35"
"2015/05/24","3"
"2015/05/25","36"
"2015/05/26","109"
"2015/05/27","88"
"2015/05/28","115"
"2015/05/29","104"
"2015/05/30","61"
"2015/05/31","20"
"2015/06/01","86"
"2015/06/02","95"
"2015/06/03","103"
"2015/06/04","100"
"2015/06/05","90"
"2015/06/06","32"
"2015/06/07","5"
"2015/06/08","83"
"2015/06/09","97"
"2015/06/10","110"
"2015/06/11","109"
"2015/06/12","80"
"2015/06/13","48"
"2015/06/14","11"
"2015/06/15","67"
"2015/06/16","105"
"2015/06/17","83"
"2015/06/18","111"
"2015/06/19","75"
"2015/06/20","22"
"2015/06/21","5"
"2015/06/22","87"
"2015/06/23","97"
"2015/06/24","106"
"2015/06/25","98"
"2015/06/26","68"
"2015/06/27","36"
"2015/06/28","14"
"2015/06/29","75"
"2015/06/30","114"
"2015/07/01","84"
"2015/07/02","82"
"2015/07/03","34"
"2015/07/04","5"
"2015/07/05","4"
"2015/07/06","56"
"2015/07/07","86"
"2015/07/08","92"
"2015/07/09","96"
"2015/07/10","69"
"2015/07/11","44"
"2015/07/12","19"
"2015/07/13","80"
"2015/07/14","103"
"2015/07/15","79"
"2015/07/16","116"
"2015/07/17","66"
"2015/07/18","14"
"2015/07/19","8"
"2015/07/20","75"
"2015/07/21","95"
"2015/07/22","84"
"2015/07/23","91"
"2015/07/24","70"
"2015/07/25","27"
"2015/07/26","29"
"2015/07/27","64"
"2015/07/28","89"
"2015/07/29","108"
"2015/07/30","115"
"2015/07/31","92"
"2015/08/01","28"
"2015/08/02","7"
"2015/08/03","85"
"2015/08/04","88"
"2015/08/05","97"
"2015/08/06","87"
"2015/08/07","66"
"2015/08/08","35"
"2015/08/09","14"
"2015/08/10","78"
"2015/08/11","83"
"2015/08/12","100"
"2015/08/13","101"
"2015/08/14","63"
"2015/08/15","19"
"2015/08/16","8"
"2015/08/17","72"
"2015/08/18","75"
"2015/08/19","80"
"2015/08/20","74"
"2015/08/21","66"
"2015/08/22","40"
"2015/08/23","5"
"2015/08/24","55"
"2015/08/25","82"
"2015/08/26","71"
"2015/08/27","84"
"2015/08/28","71"
"2015/08/29","36"
"2015/08/30","17"
"2015/08/31","81"
"2015/09/01","83.5"
"2015/09/02","81"
"2015/09/03","87"
"2015/09/04","59.5"
"2015/09/05","21"
"2015/09/06","4"
"2015/09/07","28"
"2015/09/08","92.5"
"2015/09/09","87.5"
"2015/09/10","96"
"2015/09/11","83.5"
"2015/09/12","27.5"
"2015/09/13","13"
"2015/09/14","86"
"2015/09/15","99"
"2015/09/16","108"
"2015/09/17","99"
"2015/09/18","79"
"2015/09/19","36"
"2015/09/20","-2"
"2015/09/21","75"
"2015/09/22","108"
"2015/09/23","88"
"2015/09/24","93"
"2015/09/25","81"
"2015/09/26","27"
"2015/09/27","13"
"2015/09/28","82"
"2015/09/29","118"
"2015/09/30","92"
"2015/10/01","88"
"2015/10/02","85"
"2015/10/03","45"
"2015/10/04","11"
"2015/10/05","78"
"2015/10/06","90"
"2015/10/07","78"
"2015/10/08","100"
"2015/10/09","77"
"2015/10/10","26"
"2015/10/11","11"
"2015/10/12","81"
"2015/10/13","101"
"2015/10/14","98"
"2015/10/15","117"
"2015/10/16","98"
"2015/10/17","47"
"2015/10/18","13"
"2015/10/19","88"
"2015/10/20","106"
"2015/10/21","86"
"2015/10/22","111"
"2015/10/23","91"
"2015/10/24","18"
"2015/10/25","15"
"2015/10/26","89"
"2015/10/27","91"
"2015/10/28","95"
"2015/10/29","95"
"2015/10/30","98"
"2015/10/31","51"
"2015/11/01","16"
"2015/11/02","92"
"2015/11/03","87"
"2015/11/04","111"
"2015/11/05","59"
"2015/11/06","67"
"2015/11/07","26"
"2015/11/08","9"
"2015/11/09","79"
"2015/11/10","106"
"2015/11/11","87"
"2015/11/12","88"
"2015/11/13","98"
"2015/11/14","44"
"2015/11/15","8"
"2015/11/16","91"
"2015/11/17","97"
